Agent Name,Agent Address,Agent City,FY 20 Net Sales
CUMBERLAND #6617,19 MONTAGUE ST,AMHERST,"$720,327.75"
NEIGHBOR FOOD DAIRY MART,324  COLLEGE ST,AMHERST,"$742,225.00"
SHAWSHEEN VILLAGE LIQUORS,2 POOR ST,ANDOVER,"$58,204.50"
REDSTONE  LIQUORS,89 MAIN STREET,ANDOVER,"$82,568.25"
MARCS SNACK BAR,310 LOWELL ST IRS BLDG,ANDOVER,"$100,862.00"
ANDOVER LIQUORS,209 N.MAIN ST,ANDOVER,"$165,531.00"
STOP & SHOP #471,199 NORTH MAIN ST,ANDOVER,"$347,572.00"
ENERGY NORTH #2131,309 LOWELL ST,ANDOVER,"$367,695.50"
ENERGY NORTH #2132,139 RIVER RD,ANDOVER,"$552,124.00"
SUNDAY GENERAL STORE,195 ANDOVER ST,ANDOVER,"$673,945.75"
ANDOVER SPA,9 ELM STREET,ANDOVER,"$754,448.75"
ANDOVER MOBIL,309 LOWELL ST,ANDOVER,"$759,813.00"
WEST ANDOVER MOBIL,139 RIVER RD,ANDOVER,"$983,367.50"
THE CHATEAU RESTAURANT,131 RIVER RD & RT 93,ANDOVER,"$2,186,697.25"
RICHDALE,10 RAILROAD ST,ANDOVER,"$2,270,020.25"
MYSTIC WINE SHOPPE,901 MASS AVE,ARLINGTON,"$18,445.25"
LITTLE JOES CONV. STORE,206 SUMMER ST,ARLINGTON,"$23,010.00"
ARLINGTON SHELL,934-950 MASS AVE,ARLINGTON,"$44,235.50"
MYSTIC STREET GULF,140 MYSTIC ST,ARLINGTON,"$81,904.00"
GILES WINE & SPIRITS,137-137A MASSACHUSETTS AVENUE,ARLINGTON,"$133,000.00"
BB LIQUORS,1215 MASS AVENUE,ARLINGTON,"$139,899.75"
ARLINGTON LIQUORS,94 SUMMER ST,ARLINGTON,"$153,286.50"
MASS CONVENIENCE,86 WARREN ST,ARLINGTON,"$300,405.25"
ARLINGTON AMERICAN LEGION POST 39,370 MASSACHUSETTS AVENUE,ARLINGTON,"$403,225.75"
STOP & SHOP #776,905 MASS AVE,ARLINGTON,"$569,052.75"
7 STAR GROCERY,6 MEDFORD ST,ARLINGTON,"$592,414.75"
DAGGS DELI,148 MASS AVE,ARLINGTON,"$706,037.50"
BOYLES FAMILY MARKET,64 BROADWAY,ARLINGTON,"$891,685.00"
FENWAY MARKET,203 BROADWAY,ARLINGTON,"$1,143,433.25"
GALAXY MARKET,1348 MASS AVE,ARLINGTON,"$1,205,489.75"
SYMMES MINI MART,681 MASSACHUSETTS AVENUE,ARLINGTON,"$1,216,072.50"
BROADWAY MARKET,94-96 BROADWAY ST,ARLINGTON,"$1,221,674.75"
COLUMBUS CLUB,15 WINSLOW ST,ARLINGTON,"$1,290,210.50"
LITTLE JOES CONV STORE,206 SUMMER ST,ARLINGTON,"$1,710,498.75"
PETER PAN SUPERETTE,2 PARK AVE,ARLINGTON,"$1,746,059.50"
EASY CONVENIENCE,935 MASS AVE,ARLINGTON,"$2,132,042.00"
ARLINGTON CONVENIENCE,245 MASS AVE,ARLINGTON,"$2,581,141.75"
ASHBURNHAM MARKET PLACE,50 REAR MAIN ST,ASHBURNHAM,"$27,232.50"
ASHBURNHAM WINE & SPIRITS,3 MEMORIAL DR,ASHBURNHAM,"$140,673.25"
AMER LEGION POST 142,132 WILLIAMS ROAD,ASHBURNHAM,"$142,837.00"
ASHBURNHAM HARDWARE,41 MAIN STREET,ASHBURNHAM,"$250,845.75"
TWEEDOS VARIETY,3 DUNN RD,ASHBURNHAM,"$359,816.00"
TURNPIKE ROD & GUN CLUB,94 COREY HILL RD,ASHBURNHAM,"$494,315.00"
GLOBAL MONTELLO,6 GARDNER RD,ASHBURNHAM,"$682,433.75"
COUNTRYLAND MINI MART,67 MAIN STREET,ASHBURNHAM,"$1,560,129.25"
ASHBY MARKET,MAIN ST,ASHBY,"$113,113.75"
CONVENIENT MART,1274 MAIN STREET,ASHBY,"$273,161.00"
LOW LOW CONVENIENCE STORE,704-701 FITCHBURG ROAD,ASHBY,"$1,590,735.50"
NEIGHBORS,244 MAIN ST,ASHFIELD,"$226,014.50"
ASHLAND FISH & GAME,3 PONDEROSA RD,ASHLAND,"$2,235.00"
BRASIL AMERICAN CONV,21 HOMER AVE,ASHLAND,"$123,377.00"
HANTO,380 UNION ST,ASHLAND,"$195,173.50"
MARATHON MOBIL,103 WEST UNION STREET,ASHLAND,"$248,900.75"
MARKET BASKET #46,49 POND ST,ASHLAND,"$269,376.50"
ASHLAND PUBLIC MARKET,197 MAIN ST,ASHLAND,"$283,636.50"
ALLTOWN #2724,272 POND ST,ASHLAND,"$357,491.25"
SPEEDWAY #2449,196 POND ST,ASHLAND,"$384,056.50"
ASHLAND MEMORIAL ASSN,311 PLEASANT ST,ASHLAND,"$397,356.50"
CHE'S LIQUORS,300 ELIOT ST,ASHLAND,"$476,785.25"
ASHLAND ALE HOUSE,23 POND STREET RT 126,ASHLAND,"$482,195.00"
SHAWS 1419,301 POND ST,ASHLAND,"$530,247.50"
ASHLAND SHELL #74,123 UNION ST,ASHLAND,"$637,373.25"
CHERRY BLOSSOM,80 UNION ST,ASHLAND,"$672,868.00"
SUNNYSIDE LIQUORS,7 POND STREET,ASHLAND,"$698,522.75"
TJS FOOD/SPIRITS,355 W UNION ST. RT-135,ASHLAND,"$891,999.00"
EXXCEL OIL,119 POND ST,ASHLAND,"$1,139,452.00"
E-Z CONVENIENT FOOD,69 POND ST,ASHLAND,"$1,941,922.00"
LUCKY FARMS,1 WEST UNION ST,ASHLAND,"$2,285,995.25"
ASHLAND CONV STORE,72 UNION ST RT 135,ASHLAND,"$3,135,820.50"
JUNIOR'S CONVENIENCE STORE,58 S MAIN ST,ASSONET,"$101,260.75"
GRANDPAS PLACE,9 S MAIN ST,ASSONET,"$123,774.50"
JUNIOR'S CONVIENCE STORE,58 S MAIN ST,ASSONET,"$1,189,141.00"
GRANDPAS PLACE,9 S MAIN ST,ASSONET,"$1,225,176.25"
CIRCLE K #7516,68 S MAIN ST,ASSONET,"$3,101,587.50"
THE STEEL PUB,11 EXCHANGE STREET,ATHOL,"$66,457.25"
HANNAFORD #8385,150 NEW ATHOL RD,ATHOL,"$145,326.50"
ENERGY NORTH #2133,1271 TEMPLETON RD,ATHOL,"$275,637.25"
STAN'S LIQUOR MART,1586 SOUTH MAIN ST RT2A,ATHOL,"$302,424.50"
UPTOWN PACKAGE,174 MARKET ST,ATHOL,"$418,008.50"
MARKET BASKET #78,1125 TEMPLETON RD,ATHOL,"$421,562.25"
ATHOL MOBIL,1271 TEMPLETON RD,ATHOL,"$538,573.00"
ATHOL SPIRITS,11 TUNNEL ST,ATHOL,"$690,785.75"
CONWAY PETRO,1590 MAIN STREET,ATHOL,"$865,056.25"
MR MIKE'S #310,2143 MAIN ST,ATHOL,"$1,120,312.00"
CORNER STORE,229 PINEDALE AVE,ATHOL,"$1,198,223.25"
CUMBERLAND #6688,297 MAIN ST,ATHOL,"$1,415,980.75"
ATHOL MINI MART,464 CRESCENT STREET,ATHOL,"$1,654,472.50"
CUMBERLAND #6706,1304 SO MAIN STREET,ATHOL,"$1,782,831.50"
LARRY'S VARIETY,1503 MAIN ST,ATHOL,"$2,185,518.50"
COUNTRY CONVENIENCE,49 S MAIN ST,ATHOL,"$2,772,998.75"
CANAAN FUELS,947 NEWPORT AVE,ATTLEBORO,"$2,783.75"
NAP'S PACKAGE STORE,267 PARK ST,ATTLEBORO,"$5,325.00"
PLEASANT AUTO CENTER,676 PLEASANT ST,ATTLEBORO,"$10,982.50"
SAKURA,809 WASHINGTON STREET,ATTLEBORO,"$26,304.00"
