Agent Name,Agent Address,Agent City,FY 20 Net Sales
SANDY'S MARKET,1973 COLUMBUS AVE,ROXBURY,"$175,621.25"
BROTHER'S WINE & SPIRITS,616 SHAWMUT AVENUE,ROXBURY,"$189,183.50"
LA PERAVIANA MARKET,3095 WASHINGTON ST,ROXBURY,"$215,271.50"
RUIZ MARKET,1 BLUE HILL AVE,ROXBURY,"$231,138.75"
CAMILOS MARKET,1588 COLUMBUS AVE,ROXBURY,"$240,628.00"
EGLESTON LIQUORS,3086 WASHINGTON ST,ROXBURY,"$252,732.00"
PUNJAB MINI MART,1576 TREMONT ST,ROXBURY,"$254,600.00"
BLUE HILLS LIQUORS,108 BLUE HILL AVE,ROXBURY,"$264,904.50"
KORNFIELD DRUG,2121 WASHINGTON ST,ROXBURY,"$319,181.50"
10-ELEVEN,3122  WASHINGTON STREET,ROXBURY,"$332,320.25"
HOLLYWOOD LIQUORS,950 TREMONT ST,ROXBURY,"$336,738.50"
VEGA BROTHERS,219 DUDLEY STREET,ROXBURY,"$345,429.50"
BLUE HILL SUPERETTE,167 BLUE HILL AVE,ROXBURY,"$366,318.50"
ALLTOWN #2703,85 SOUTHAMPTON ST,ROXBURY,"$427,308.00"
ETHIOPIAN MARKET,43 ROXBURY STREET,ROXBURY,"$428,525.50"
SIMONS PKG & SEAFOOD,2169 WASHINGTON ST,ROXBURY,"$433,748.75"
DAVEY'S SUPER MARKET,438 DUDLEY ST,ROXBURY,"$486,449.00"
FERNANDEZ BROTHERS LIQUORS,527 DUDLEY ST,ROXBURY,"$498,570.00"
LA CHAPI MARKET,113 BLUE HILL AVENUE,ROXBURY,"$500,432.00"
GINA'S GROCERY STORE,251 DUDLEY ST,ROXBURY,"$569,265.25"
CHAUNCY LIQUORS,3100 WASHINGTON STREET,ROXBURY,"$585,228.25"
DEARBORN LIQUOR STORE,60 DEARBORN ST,ROXBURY,"$608,920.75"
ROXBURY ENERGY,67 BLUE HILL  AVE,ROXBURY,"$624,110.75"
NUNEZ MARKET,301 DUDLEY ST,ROXBURY,"$648,775.50"
FERNANDEZ LIQUORS III,2665 WASHINGTON ST,ROXBURY,"$662,384.00"
GIANT LIQUOR,2371 WASHINGTON ST,ROXBURY,"$675,457.00"
EGLESTON SQ MOBIL,3055 WASHINGTON ST,ROXBURY,"$689,764.50"
PINAS GROCERY STORE,1985A COLUMBUS AVENUE,ROXBURY,"$716,843.75"
WARREN FOOD MART,394-396 WARREN ST,ROXBURY,"$750,529.50"
M & R STORE,718 SHAWMUT AVE,ROXBURY,"$761,764.75"
STOP & SHOP #412,1620 TREMONT STREET,ROXBURY,"$806,611.50"
SEVEN 86 MARKET,249 BLUE HILL AVENUE,ROXBURY,"$952,282.50"
LA BORINQUENA GROCERY,534 DUDLEY ST,ROXBURY,"$1,224,932.00"
MISSION HILL LIQUORS,1623 TREMONT ST,ROXBURY,"$1,236,465.75"
LA FAMILIA MARKET,64 A BLUE HILL AVE,ROXBURY,"$1,454,965.75"
MARCELLA MARKET,80 MARCELLA STREET,ROXBURY,"$1,486,382.75"
BROTHERS SUPER LIQUORS,368 WARREN ST,ROXBURY,"$1,649,884.25"
ROXBURY MARKET,2981 WASHINGTON  STREET,ROXBURY,"$1,700,443.50"
CENTRAL CONVENIENCE,194 DUDLEY ST,ROXBURY,"$1,879,802.25"
N & M MARKET,2359 WASHINGTON ST,ROXBURY,"$2,520,573.50"
CENTRAL CONVENIENCE,218-222 BLUE HILL AVE,ROXBURY,"$2,857,423.25"
MR GAS & MINI MARKET,1600 TREMONT STREET,ROXBURY,"$3,681,865.25"
ROYALSTON GENERAL STORE,21 MAIN STREET,ROYALSTON,"$65,747.00"
RUSSELL INN,5 WESTFIELD RD,RUSSELL,"$203,944.50"
RUSSELL PACKAGE STORE,5 HUNTINGTON ROAD,RUSSELL,"$306,501.00"
CUMBERLAND #0173,16 WESTFIELD RD,RUSSELL,"$1,007,665.25"
VASUCON,529 E COUNTY RD,RUTLAND,"$5,452.00"
BEDROCK GOLF CLUB,87 BARRE PAXTON RD,RUTLAND,"$19,509.50"
RUTLAND MARKETPLACE,26 POMMOQUSETT ROAD,RUTLAND,"$88,375.50"
MAIN ST DISCOUNT LIQUOR,83 MAIN ST,RUTLAND,"$127,105.75"
CENTER TREE BAR & GRILL,249 MAIN ST,RUTLAND,"$138,424.00"
RUTLAND PHARMACY,18 MAPLE AVENUE,RUTLAND,"$142,230.25"
LADD'S RESTAURANT,64 BARRE-PAXTON RD,RUTLAND,"$218,431.00"
COLONIAL CONVENIENCE,222 BARRE PAXTON RD,RUTLAND,"$707,779.25"
SAVEWAY CONVENIENCE,249 MAIN ST,RUTLAND,"$1,042,588.25"
HONEY FARMS 3823,87 MAIN ST,RUTLAND,"$1,983,363.75"
BJ'S WHOLESALE #55,287 WASHINGTON ST,S ATTLEBORO,"$180,821.75"
SO ATTLEBORO POST 312,437 NEWPORT AVE,S ATTLEBORO,"$254,781.75"
MON KOU RESTAURANT,676 WASHINGTON ST,S ATTLEBORO,"$298,331.50"
YANKEE SPIRITS,628 WASHINGTON ST,S ATTLEBORO,"$327,472.75"
STOP & SHOP #443,251 WASHINGTON ST,S ATTLEBORO,"$701,150.25"
S ATTLEBORO SHELL#62,237 WASHINGTON ST,S ATTLEBORO,"$1,018,087.50"
BARRE MILL REST,90 MAIN ST,S BARRE,"$17,119.00"
SOUTHIE LIQUORS,399-401 W BROADWAY,S BOSTON,"$12,682.00"
JAVA HOUSE,541 E BROADWAY,S BOSTON,"$24,694.50"
7-ELEVEN 33592,673 E BROADWAY,S BOSTON,"$50,688.50"
BAY VIEW LIQUORS,108 DORCHESTER ST,S BOSTON,"$87,176.50"
SO BOSTON CANDLEPINS,543 E BROADWAY,S BOSTON,"$98,459.75"
WOODS L ST TAVERN,195 L STREET,S BOSTON,"$148,819.75"
SPORTS CONNECTION,560 DORCHESTER AVE,S BOSTON,"$168,460.25"
ANDREW SQ LIQUOR,605 DORCHESTER AVE,S BOSTON,"$179,417.50"
BOSTON LIQUOR GROUP,336 K STREET,S BOSTON,"$238,074.75"
STOP & SHOP #053,713 E BROADWAY,S BOSTON,"$269,720.50"
THE SHANNON TAVERN,558 E THIRD ST,S BOSTON,"$280,814.50"
SOUTH BOSTON MARKET,626 A DORCHESTER AVE,S BOSTON,"$315,688.25"
ROTARY LIQUORS,295 OLD COLONY AVENUE,S BOSTON,"$332,357.50"
LLANERA SUPERMARKET,260 EAST 8TH ST,S BOSTON,"$332,535.75"
ETHEL & ANDY'S,134 K ST,S BOSTON,"$334,146.25"
TOUCHIE'S SHAMROCK PUB,501 E EIGHTH STREET,S BOSTON,"$404,434.50"
BELL'S CASH MARKET,246 DORCHESTER ST,S BOSTON,"$438,685.50"
OLD COLONY WINES,259 DORCHESTER ST,S BOSTON,"$450,788.50"
CORNER MARKET,104 DORCHESTER STREET,S BOSTON,"$468,051.25"
DORGANS PACKAGE,662-664 EAST BROADWAY,S BOSTON,"$510,518.00"
SPEEDWAY #2509,150 OLD COLONY AVE,S BOSTON,"$528,666.25"
EASTSIDE MARKET,474 EAST EIGHTH ST,S BOSTON,"$547,208.75"
CROSSROADS MART,673 E BROADWAY,S BOSTON,"$569,391.00"
CLOCK TAVERN,342 W BROADWAY,S BOSTON,"$615,204.50"
SOUTHIE'S FOOD EMPORIUM,735 E 6TH STREET,S BOSTON,"$620,057.75"
JIMMY'S CORNER,143 P STREET,S BOSTON,"$624,926.00"
FAMILY MARKET,334 EAST EIGHTH STREET,S BOSTON,"$661,396.25"
TOM ENGLISH COTTAGE,118 EMERSON ST,S BOSTON,"$784,639.00"
WEST SEVENTH MINI MART,51 WEST 7TH ST,S BOSTON,"$795,356.25"
C & G SERVICE,77 L STREET,S BOSTON,"$878,897.50"
BAILEY'S TOO,354 WEST BROADWAY,S BOSTON,"$936,160.00"
CUMBERLAND #3490,628 EAST 5TH ST,S BOSTON,"$943,617.75"
B & 4TH STREET VARIETY,178 W 4TH STREET,S BOSTON,"$974,772.25"
THE HUB,604-608 E BROADWAY,S BOSTON,"$1,057,107.75"
7-ELEVEN 33568-B,473 W BROADWAY,S BOSTON,"$1,061,187.75"
NEIGHBORHOOD CONVENIENCE,165 D ST,S BOSTON,"$1,198,279.75"
JIM'S VARIETY,256 WEST 5TH ST,S BOSTON,"$1,307,029.50"
6-TWELVE,624-632 EAST BROADWAY,S BOSTON,"$1,413,920.75"
WEST BROADWAY GULF,79-89 WEST BROADWAY,S BOSTON,"$1,480,277.25"
7-ELEVEN 37492,566-578 DORCHESTER AVE,S BOSTON,"$1,632,624.75"
JAMIE'S VARIETY,113 H STREET,S BOSTON,"$1,827,494.75"
EAST BROADWAY MARKET,869 E BROADWAY,S BOSTON,"$1,850,234.00"
DOUGHBOY DONUTS,220 DORCHESTER AVE,S BOSTON,"$1,967,468.00"
STATION NEWS,573 DORCHESTER AVE,S BOSTON,"$1,967,767.25"
ROTARY VARIETY,309 OLD COLONY AVE,S BOSTON,"$2,460,588.75"
J & J MINI MART,131 W BROADWAY,S BOSTON,"$2,505,310.75"
DAVE'S LIQUORS,239 TREMONT ST,S CARVER,"$1,131,787.00"
SOUTH CHATHAM LIQUORS,2447 MAIN STREET,S CHATHAM,"$230,603.75"
C V VARIETY,550 RUSSELLS MILLS RD,S DARTMOUTH,"$286,490.50"
CUMBERLAND #2294,244 RUSSELL MILLS RD,S DARTMOUTH,"$916,878.75"
PRESTIGE MARKET,532 RUSSELL MILLS RD,S DARTMOUTH,"$1,407,606.00"
TAVERN SPORTS BAR,2C ELM STREET,S DEERFIELD,"$24,497.00"
THE TAVERN SPORTS BAR,2C ELM STREET,S DEERFIELD,"$32,221.00"
CIESLUK'S MARKET,55C NORTH MAIN STREET,S DEERFIELD,"$117,136.25"
DEERFIELD SPIRIT,53C S MAIN ST,S DEERFIELD,"$526,328.50"
CONWAY ROAD NEIGHBORS,242 CONWAY RD,S DEERFIELD,"$677,907.25"
CUMBERLAND #6674,31 ELM STREET,S DEERFIELD,"$987,172.75"
CIRCLE K #7509,1 GREENFIELD RD,S DEERFIELD,"$1,010,113.50"
SAND DOLLAR BAR & GRILLE,50 ROUTE 134,S DENNIS,"$266,715.25"
JASON'S TAVERN,500 RT 134,S DENNIS,"$293,878.00"
SOUTH DENNIS MOBIL,452 RT 134,S DENNIS,"$533,553.00"
BUNCEY'S PIZZA,894 ROUTE  134,S DENNIS,"$745,655.00"
STOP & SHOP #461,PATRIOT SQ MALL RT134,S DENNIS,"$936,142.75"
CUMBERLAND #2315,420 ROUTE 134,S DENNIS,"$1,115,464.75"
COLBEA #88,497 RT 134,S DENNIS,"$1,175,495.75"
DENNIS FOOD AND PACKAGE,894 ROUTE 134,S DENNIS,"$2,924,382.00"
TOMMY DOYLE'S PUB AND GRILL,956 WASHINGTON ST,S EASTON,"$509,713.50"
SHAWS 2408,699 DEPOT ST,S EASTON,"$692,005.25"
SUNNY'S CONVENIENCE,750 WASHINGTON ST,S EASTON,"$757,721.75"
M M MART,675 WASHINGTON ST,S EASTON,"$1,080,167.50"
JAY'S CORNER CONVENIENCE,460 TURNPIKE STREET,S EASTON,"$1,527,139.75"
SUNSHINE TOBACCO STORE,2 BELMONT STREET,S EASTON,"$1,879,907.00"
WHITE ROSE PANTRY,277 TURNPIKE ST,S EASTON,"$2,107,675.75"
HIGHLAND VARIETY,95 HIGHLAND STREET,S EASTON,"$3,118,122.50"
RICK'S HILLTOP,59 MAPLE AVE,S GRAFTON,"$84,260.00"
VALLEY PLAZA DISCOUNT LIQUORS,43 MAIN STREET,S GRAFTON,"$394,108.00"
VILLAGE DAIRY,167 MAIN ST,S GRAFTON,"$479,504.00"
CUMBERLAND #0164,2  MAIN ST,S GRAFTON,"$1,107,735.50"
HAYDOCY SERVICE STATION,72 LAMB ST,S HADLEY,"$2,381.50"
SOK'S,30 BRIDGE ST,S HADLEY,"$54,411.00"
ALLERY'S,314 NEWTON STREET,S HADLEY,"$63,845.00"
STONEY'S PUB,1 BRIDGE ST,S HADLEY,"$88,411.75"
THE WHISKEY BARREL,21 LYMAN STREET,S HADLEY,"$90,268.75"
HADLEY MART,2086 MEMORIAL DRIVE,S HADLEY,"$112,529.25"
THE BOATHOUSE,1 ALVORD ST,S HADLEY,"$273,574.00"
HALFWAY HOUSE,322 NEWTON ST,S HADLEY,"$327,095.00"
EBENEZER'S BAR & GRILL,60 BRIDGE ST,S HADLEY,"$363,230.50"
LIQUOR TOWN,506 GRANBY POND,S HADLEY,"$416,789.00"
BIG Y EXPRESS 112,467 NEWTON ST,S HADLEY,"$783,350.25"
STOP AND GO,4 BARDWELL ST,S HADLEY,"$917,232.75"
CUMBERLAND #6718,507 NEWTON ST,S HADLEY,"$921,414.25"
BIG Y #50,44 WILLIANSETT ST,S HADLEY,"$1,011,912.50"
MOBIL GAS,483 GRANBY  ROAD,S HADLEY,"$1,289,055.50"
HADLEY MART,2086 MEMORIAL DRIVE,S HADLEY,"$1,340,549.50"
WHITE WING,568 NEWTON STREET,S HADLEY,"$1,440,632.00"
7-ELEVEN 15405-A,436 NEWTON AVE,S HADLEY,"$2,002,031.50"
FALLS GETTY,17 BRIDGE ST,S HADLEY,"$2,383,815.25"
A & M MOTORS,203 HIGHLAND STREET,S HAMILTON,"$356,990.25"
HAMILTON CONVENIENCE,178 BAY RD,S HAMILTON,"$2,405,039.50"
CUMBERLAND #6753,94 SOUTH MAIN ST,S LANCASTER,"$1,325,337.00"
JOHN'S LIQUORS,1055 MAIN ST,S WEYMOUTH,"$135,072.50"
MAIN ST MOBIL,512 MAIN ST,S WEYMOUTH,"$152,070.50"
OLDENS PHARMACY,101 PLEASANT ST,S WEYMOUTH,"$167,678.25"
MARYLOU'S NEWS,768 MAIN ST,S WEYMOUTH,"$194,193.50"
BAILEY'S PACKAGE STORE,74 PLEASANT ST,S WEYMOUTH,"$196,950.75"
7-ELEVEN 37463,1039 MAIN ST,S WEYMOUTH,"$283,305.00"
ASIA PALACE,35 PLEASANT STREET,S WEYMOUTH,"$312,619.00"
PARK AVE MARKET,46 PARK AVE,S WEYMOUTH,"$316,534.25"
FAMILY SERVICE STATION,1465 MAIN ST,S WEYMOUTH,"$438,779.75"
WARREN'S PLACE,27 PLEASANT ST,S WEYMOUTH,"$878,600.50"
CUMBERLAND #6728,767 MAIN ST,S WEYMOUTH,"$1,263,977.75"
CUMBERLAND #3462,5 LIBERTY SQUARE,S WEYMOUTH,"$1,315,174.50"
RICHDALE FOOD SHOPS #134,1039 MAIN ST,S WEYMOUTH,"$1,457,442.00"
WEYMOUTH FOOD MART,1690 MAIN ST,S WEYMOUTH,"$2,088,905.75"
PLEASANT STREET GENERAL,451 PLEASANT ST,S WEYMOUTH,"$2,243,351.75"
BUTTS & BETS II,99 PLEASANT STREET,S WEYMOUTH,"$2,683,714.00"
LONGFELLOWS,182 OLD TOWN HOUSE RD,S YARMOUTH,"$2,000.00"
YARMOUTH WINE & SPIRIT,484H STATION AVE,S YARMOUTH,"$7,001.00"
DAGGETTS LIQUOR STORE,1071  STATE ROAD,S YARMOUTH,"$55,795.75"
DAGGETTS LIQUORS,1071  STATE ROAD,S YARMOUTH,"$62,602.00"
TAVERN 731,731 RT 28,S YARMOUTH,"$66,204.00"
YARMOUTH LODGE,834 RT 28,S YARMOUTH,"$91,033.00"
COLBEA #90,446 STATION AVE,S YARMOUTH,"$204,276.25"
ALLTOWN #2715,511 STATION AVE,S YARMOUTH,"$211,194.50"
YARMOUTH WINE & SPIRIT,484H STATION AVE,S YARMOUTH,"$227,345.50"
JAY MART,1282 ROUTE 28,S YARMOUTH,"$234,749.25"
MOONSHINE LIQUORS,931 RT 28,S YARMOUTH,"$284,888.25"
WATERWHEEL LIQUORS,1323 ROUTE 28,S YARMOUTH,"$292,639.50"
SHAWS 3692,1108 STATE RD RTE 28,S YARMOUTH,"$425,008.75"
STOP & SHOP #2422,474 STATION AVE,S YARMOUTH,"$535,784.75"
YARMOUTH MINI MART,845-851 ROUTE 28 UNIT 5,S YARMOUTH,"$537,055.00"
YARMOUTH MINI MART,845-851 ROUTE 28 UNIT 5,S YARMOUTH,"$585,934.50"
CUMBERLAND #2262,1297 ROUTE 28,S YARMOUTH,"$598,992.75"
SPEEDWAY #2445,1353 MAIN STREET,S YARMOUTH,"$702,665.25"
STOP & SHOP #022,55 LONG POND RD,S YARMOUTH,"$844,418.50"
CAPE COD CONVENIENCE,50 LONG POND DRIVE UNIT 3,S YARMOUTH,"$878,596.50"
QUICK MART,182-D OLD TOWNHOUSE ROAD,S YARMOUTH,"$1,619,611.50"
STATION AVE CONVENIENCE,455 STATION AVE,S YARMOUTH,"$2,736,031.00"
A TO Z CONVENIENCE,1011 RTE 28,S YARMOUTH,"$2,808,964.50"
BUCKY'S II,1047 RT 28,S YARMOUTH,"$2,925,795.25"
SAGAMORE INN,1131 SANDWICH RD,SAGAMORE,"$88,433.00"
MARKET BASKET #69,1 FACTORY OUTLET WAY,SAGAMORE,"$327,014.00"
ONE STOP CONV STORE,227 ROUTE 6A,SAGAMORE,"$955,241.25"
NOURIA #4043,1 CANAL ST,SAGAMORE BEACH,"$545,465.25"
YE OLDE SPIRIT SHOP,41 MEETINGHOUSE LN,SAGAMORE BEACH,"$2,086,285.25"
E MARKET,28 NORMAN STREET,SALEM,$98.50
LOYAL ORDER OF MOOSE,50 GROVE STREET,SALEM,$289.00
SALEM LIQUORS,125 CANAL ST,SALEM,"$4,841.00"
SALEM BUSINESS/FINANCE,3 HARBOR STREET,SALEM,"$12,009.50"
VILLAGE TAVERN GRILL,MUSEUM PLACE SUITE 100,SALEM,"$14,672.00"
NEW MARKET,109 BRIDGE STREET,SALEM,"$34,733.25"
REDS SANDWICH SHOP,15 CENTRAL ST,SALEM,"$35,547.75"
LONGBOARDS CAFE & BAR,72 WHARF ST,SALEM,"$124,941.00"
CROSBY'S MARKETPLACE,125 CANAL ST,SALEM,"$133,081.75"
SALEM LIQUORS,128 NORTH ST,SALEM,"$140,339.75"
WITCH CITY VFW POST 1524,95 DERBY ST,SALEM,"$147,345.00"
ARGES LIQUORS,18 BOSTON ST,SALEM,"$152,443.75"
KNIGHTS OF COLUMBUS,18 COMMERCIAL ST,SALEM,"$170,145.50"
LORING LIQUORS,70A LORING AVE,SALEM,"$174,001.00"
SALEM LIQUORS,125 CANAL ST,SALEM,"$175,521.25"
THE TIN WHISTLE,241 JEFFERSON AVENUE,SALEM,"$185,930.50"
MARC'S MARKET,51 HARBOR STREET,SALEM,"$190,386.50"
COSGROVE'S LIQUORS,26 BRIDGE STREET,SALEM,"$216,112.50"
BUNGHOLE LIQUORS,204 DERBY ST,SALEM,"$236,044.25"
TROPICANA MARKET,24 PALMER STREET,SALEM,"$236,716.75"
MASS MINI MART,34 BOSTON STREET,SALEM,"$269,790.75"
LAFAYETTE ASSOCIATES OF SALEM,13 BROADWAY,SALEM,"$290,764.75"
SPEEDWAY #2511,90 NORTH ST,SALEM,"$316,643.75"
SALEM SHELL,111 NORTH ST,SALEM,"$316,691.25"
MARKET WINE & SPIRITS,21 TRADERS WAY,SALEM,"$328,826.50"
RED LION SMOKE SHOP,94 WASHINGTON ST,SALEM,"$353,906.75"
WALYO'S VARIETY,20 ESSEX ST,SALEM,"$367,291.25"
BERTINI'S RESTAURANT,284 CANAL ST,SALEM,"$369,293.50"
AOH OF SALEM DIV 18,104 BOSTON STREET,SALEM,"$399,248.00"
MARC'S MARKET,51 HARBOR STREET,SALEM,"$439,029.25"
FAMILY CONVENIENCE STORE,247 JEFFERSON AVE,SALEM,"$447,248.25"
SALEM SUPERMARKET,95 CONGRESS ST,SALEM,"$449,329.50"
QUALITY LIQUORS,5 GEDNEY ST,SALEM,"$450,444.25"
STOP N SAVE,200 CANAL ST,SALEM,"$489,789.50"
SHAWS 2493,11 TRADERS WAY,SALEM,"$505,150.25"
A L PRIME ENERGY,175 LAFAYETTE ST,SALEM,"$525,042.50"
SPEEDWAY #2480,295 DERBY STREET,SALEM,"$553,428.25"
CASTLE HILL MINIMARTS,280 JEFFERSON AVENUE,SALEM,"$606,820.75"
MARKET BASKET #58,227 HIGHLAND AVENUE,SALEM,"$617,350.00"
SIDELINES SPORTS BAR & GRILL,105 CANAL ST,SALEM,"$664,419.00"
SALEM SHELL INC,146 BOSTON ST,SALEM,"$711,955.75"
LOS AMIGOS SUPERMARKET,122 LAFAYETTE STREET,SALEM,"$745,173.50"
E MARKET,28 NORMAN STREET,SALEM,"$746,718.50"
YOUR NEIGHBORHOOD MARKET,103 SCHOOL ST,SALEM,"$750,016.75"
FRIENDLY MINI MARKET,235 LAFAYETTE STREET,SALEM,"$757,191.25"
STEVES QUALITY MARKET,36 MARGIN ST,SALEM,"$773,496.75"
SUNOCO SNACK SHOP,145 CANAL STREET,SALEM,"$836,166.00"
WHITE DOVE MARKET,59 LORING AVE,SALEM,"$994,958.50"
SALEM 7 FOOD STORE,126 NORTH ST,SALEM,"$996,168.25"
RICHDALE,84 HIGHLAND AVENUE #103,SALEM,"$1,007,036.50"
RX3 ENERGY,94 BRIDGE ST,SALEM,"$1,032,710.00"
FANTASY ISLAND,516 LORING AVE,SALEM,"$1,081,397.00"
CIRCLE K #7502,319 HIGHLAND AVE,SALEM,"$1,114,705.25"
RICHDALE CONVENIENCE,172 LAFAYETTE ST,SALEM,"$1,177,419.25"
KWIK SHOP MARKET,10 JEFFERSON AVE,SALEM,"$1,254,242.00"
QUICK PICK CONVENIENCE,207 NORTH STREET,SALEM,"$1,304,535.75"
ROUTE 114 CITGO,105 NORTH ST,SALEM,"$1,671,479.25"
RICHDALE CONVENIENCE,72 LORING AVE,SALEM,"$1,673,950.00"
RICHDALE,31 BRIDGE STREET,SALEM,"$1,699,142.50"
NICOLES MINI FOOD,406 ESSEX ST,SALEM,"$3,064,360.50"
3N CONVENIENCE,3 PARADISE RD,SALEM,"$3,336,783.25"
KITTEN'S GENTLEMEN CLUB,99 BRIDGE RD,SALISBURY,"$26,376.00"
R & L LIQUORS,105 ELM STREET,SALISBURY,"$29,118.50"
CAPRI,3 CENTRAL AVE,SALISBURY,"$34,380.00"
SALISBURY DISC HOUSE,11-A BROADWAY,SALISBURY,"$52,983.50"
R & L LIQUORS,105 ELM STREET,SALISBURY,"$67,510.50"
GRACIE'S BAR & GRILL,5 BROADWAY,SALISBURY,"$68,988.50"
GOOD FORTUNE,25 SALISBURY SQ,SALISBURY,"$122,064.00"
UNCLE EDDIE'S,8 OCEAN FRONT,SALISBURY,"$170,161.00"
SALISBURY SPORTS PUB,3 BROADWAY,SALISBURY,"$209,996.00"
ALL AMERICAN TAVERN,34 BRIDGE RD,SALISBURY,"$242,173.00"
FAMILY'S CHINESE REST & BAR,139 ELM STREET,SALISBURY,"$251,956.50"
HIDEAWAY PUB,183 NORTH END BLVD,SALISBURY,"$253,100.00"
SEASIDE LIQUORS,1 BROADWAY,SALISBURY,"$265,834.00"
CAROUSEL LOUNGE,27 OCEAN FRONT SOUTH,SALISBURY,"$315,748.50"
EXPRESS FOOD MART,183 NORTH END BLVD,SALISBURY,"$1,043,470.25"
SALISBURY MINI MART,192 ELM ST,SALISBURY,"$1,118,090.50"
WINNERS CIRCLE,211 ELM ST,SALISBURY,"$2,775,838.25"
GULF EXPRESS,5 BRIDGE ROAD,SALISBURY,"$3,799,637.00"
FAST FREDDIES,66 MAIN ST,SALISBURY,"$5,293,751.25"
STATELINE LIQUORS,45 TOLL RD,SALISBURY,"$8,453,551.75"
DICK'S VARIETY NORTH,4 MAIN ST,SALISBURY,"$9,943,345.00"
MJ TUCKERS,61 SOUTH MAIN STREET,SANDISFIELD,"$207,276.00"
PARADISE WINE & SPRITS,65 RT 6A S & S PLAZA,SANDWICH,"$80,038.25"
AMER LEGION POST#188,20 MAIN ST,SANDWICH,"$112,311.50"
MARSHLAND TOO,315 COTUIT RD,SANDWICH,"$143,133.00"
THE CLUBHOUSE SPORTS BAR,1 ROUND HILL RD,SANDWICH,"$188,816.50"
BOBBY BYRNE'S PUB,65  RT 6A,SANDWICH,"$230,128.00"
SANDWICH PACKAGE,118 RT 6A,SANDWICH,"$238,624.75"
THE DELI,101 ROUTE 6A UNIT # 2,SANDWICH,"$248,680.50"
MERCHANT SQ LIQUORS,8 MERCHANTS RD,SANDWICH,"$373,537.75"
STOP & SHOP #470,71 QUAKER MEETING HOUSE RD,SANDWICH,"$408,329.00"
SPEEDWAY #2427,273 COTUIT RD,SANDWICH,"$463,188.00"
SPEEDWAY #2444,336 ROUTE 130,SANDWICH,"$484,127.25"
MEETING HOUSE PACKAGE,263 COTUIT RD,SANDWICH,"$576,377.00"
STOP & SHOP #012,RTE 6A & MERCHANTS RD,SANDWICH,"$617,819.25"
EXPRESS MART,127 RTE 6A,SANDWICH,"$876,737.75"
CANTERBURY MARKET,331 COTUIT RD,SANDWICH,"$891,702.25"
SANDWICH MART & SPIRITS,152 ROUTE 6A,SANDWICH,"$1,066,101.50"
RT 6A CONVENIENCE,422 ROUTE 6A,SANDWICH,"$1,343,009.75"
SANDWICH FOOD STORE,111 RT 6A,SANDWICH,"$1,954,315.75"
SANDWICH FOOD MART,298 RT 130,SANDWICH,"$4,407,040.75"
SAUGUS VFW POST 2346,190  C MAIN ST,SAUGUS,"$42,841.00"
AMATOS LIQUOR STORE,339 BROADWAY,SAUGUS,"$93,082.50"
SUPER PETROLEUM,1300 BROADWAY,SAUGUS,"$160,217.25"
TUCKERS MOBIL,2 ESSEX ST,SAUGUS,"$167,308.00"
K PUB,22 LINCOLN AVENUE,SAUGUS,"$176,420.00"
POLO GAS,50 HAMILTON AVE,SAUGUS,"$226,457.00"
BUFFALO  WILD WINGS,180 MAIN STREET,SAUGUS,"$229,249.00"
SAUGUS ITAL/AMER CLB,1 BEACHVIEW AVE,SAUGUS,"$270,514.50"
THE CONTINENTAL RESTAURANT,266 BROADWAY,SAUGUS,"$307,594.50"
SPEEDWAY #2481,1252 BROADWAY,SAUGUS,"$320,806.00"
BOSCY'S LIQUORS,216 BROADWAY,SAUGUS,"$326,916.50"
SAUGUS LODGE OF ELKS,401 MAIN ST,SAUGUS,"$416,162.00"
BIG Y #107,357 BROADWAY,SAUGUS,"$473,665.00"
NASTY NONNI'S WINE & SPIRIT,321 MAIN STREET,SAUGUS,"$547,168.25"
NORTH SHORE LIQUORS,180 MAIN ST,SAUGUS,"$565,711.50"
SPEEDWAY #2512,220 BROADWAY,SAUGUS,"$599,849.25"
SUNOCO,700 BROADWAY,SAUGUS,"$684,577.50"
GUY'S LIQUORS,7 MAIN ST,SAUGUS,"$768,702.75"
ALLTOWN #2717,1123 BROADWAY,SAUGUS,"$848,787.75"
CLIFTONDALE LIQUOR,7 ESSEX STREET,SAUGUS,"$889,819.75"
MOBIL MART,368 BROADWAY,SAUGUS,"$923,038.50"
GATEWAY NEWSSTAND,SQUARE ONE MALL 1201 BROADWAY,SAUGUS,"$946,369.75"
KOWLOON RESTAURANT,948 BROADWAY,SAUGUS,"$1,062,504.50"
STOP & SHOP #407,164 MAIN ST,SAUGUS,"$1,115,490.75"
KRISTOS BEER & WINE,465 ESSEX STREET,SAUGUS,"$1,690,464.75"
ROUTE ONE GRILL HOUSE,817 BROADWAY,SAUGUS,"$1,702,343.25"
7-ELEVEN 37445,386 LINCOLN ST,SAUGUS,"$1,940,189.75"
RICHDALE,304 LINCOLN AVENUE,SAUGUS,"$2,232,717.25"
GREAT CONVENIENCE,501A MAIN STREET,SAUGUS,"$2,250,855.25"
MARINA'S MART,4 HOWARD ST,SAUGUS,"$2,559,050.25"
LINCOLN AVE MARKET,84 LINCOLN AVE,SAUGUS,"$2,711,078.75"
7-ELEVEN 34391 A,32 HAMILTON ST,SAUGUS,"$3,021,372.50"
